s1,s2,s3
b5,b10,b11
b3,b4,b10
b4,b6,b10
b10,b10,b10
b5,b9,b10
a6,a9,b3
b1,b6,b10
b1,b6,b10
b9,b10,b11
a11,b8,b15
b10,b10,b10
b4,b10,b12
a6,a14,b16
a8,b1,b10
a8,b9,b11
a5,a7,a8
b1,a2,a5
a6,a14,b16
a3,b8,b15
a5,a7,a8
b9,b9,b9
b9,b9,b9
b1,b1,b1
b1,b1,b1
a2,a11,b11
b1,b1,b1
a2,a15,b12
b1,b8,b15
a6,a9,b3
a2,b9,b9
a6,b14,b17
b5,b6,b10
a6,a14,b16
a6,a14,b16
a6,b14,b17
b10,b10,b10
b10,b10,b10
b10,b10,b10
b12,b10,b4
b12,b10,b4
b6,b6,b6
b6,b6,b6
b6,b6,b6
b12,b10,b4
b12,b10,b4
b12,b10,b4
b12,b10,b4
b1,b1,b1
b1,b1,b1
b1,b1,b1
b1,b1,b1
b1,b1,b1
b5,b5,b5
b5,b5,b5
b10,b10,b5
b10,b10,b5
b10,b10,b5
b10,b10,b5
b10,b10,b5
a11,a2,b8
a10,b5,b3
b11,b11,b6
b9,b9,b6
b6,b6,b6
b6,b6,b6
b6,b6,b6
b6,b6,b6
b3,b3,b3
b3,b3,b3
b3,b3,b3
b15,b11,b8
b11,b6,b5
a10,b6,b1
a15,b9,b7
a16,a4,a3
b10,b9,b7
b12,b10,b8
a10,b3,b1
a9,a8,a5
b5,b5,b5
a18,b16,b14
