s1,s2,s3
a7,a8,a9
a7,a8,a9
a11,a11,a11
a11,a11,a11
a15,a15,a14
a3,a9,b14
a2,b6,a15
b10,a6,b1
b4,b4,b4
b6,b6,b6
b6,a6,a11
a3,a11,a5
a9,a5,a15
b4,b12,b10
b11,b14,a17
b11,b14,a17
b11,b14,a17
a10,a14,b18
a3,a4,b11
b7,b9,a15
b7,b9,a15
b7,b9,a15
b7,b9,a15
a6,a9,b3
b4,b10,b12
a6,a14,b16
a6,a14,b16
b5,b5,b9
b10,b10,b12
b10,b10,b12
b10,b10,b12
a8,a14,b15
a8,a14,b15
a17,b8,b17
a17,b8,b17
a6,a10,a16
b8,b8,b8
b10,b10,b10
b7,b9,a13
a7,a7,a7
a1,a7,b1
a4,a5,b11
a9,a9,a3
a7,a8,b10
