s1,s2,s3
a10,a11,b9
a8,a14,b10
a8,a14,b10
a9,a10,b7
a10,a11,b7
a10,a11,b18
a9,a16,b16
a6,a9,b3
a13,b6,b14
a13,b6,b14
b10,b10,b12
b10,b10,b12
a15,a16,b5
a3,a9,a9
a17,b11,b14
a13,b6,b14
a11,b8,b12
A11,A16, B3
A7,A10,B11
B6,B6,B6
A9,A9,A3
A8,A14,B15
A10,A14,A18
a13,b6,b14
b10,b10,b12
a2,a6,a15
a4,a6,b15
a15,a16,b5
a6,a10,a16
a8,a14,b10
a7,a8,a9
a6,a10,a16
a8,a8,b1
a15,b9,b17
a15,b7,b9
a15,b7,b9
a4,a15,b11
a6,a10,b8
a1,b1,b9
a2,a7,b11
a1,a13,b8
a2,a4,a5
b1,b8,b16
a11,b9,b12
b10,b10,b12
a11,b9,b14
a5,b9,b14
b7,b7,b7
